"p5.js主要用來做什麼用途？","網頁資料庫管理 ","數學函式庫","創意編程與互動視覺","檔案加密","C"
"若想建立一個600x400像素的畫布，應該使用何種語法?","createWindow(600,400) ","setupCanvas(600,400)"," createCanvas(600,400)","keyTyped(200,200)","C"
" 在p5.js中，哪一個function會「自動重複執行」來產生動畫效果?","animate()","render()","draw()","show()","C"
"以下哪個指令可用來設定背景顏色為白色?","background(0)","background(255)","background(“white”)","以上B、C皆可","D"
"要偵測滑鼠點擊畫布，應在程式中用哪個function?","mousePressed()","mouseClick()","onMouseDown()","colormouseEvent()","A"
"p5.js的畫布原點(0,0)在哪個位置?","左上角","右下角","中心","左下角","A"
"下列有關fill()與stroke()的說明，何者正確?","fill()設定外框顏色，stroke()設定內部顏色","fill()設定內部顏色，stroke()設定外框顏色","兩者都設定透明度","左兩者作用完全一樣","B"
" 以下那串程式碼可以畫出一個中心在(50,100)，直徑40的圓?","ellipse(100,50,40,40)","drawCircle(50,100,40)","ellipse(50,100,40,40)","左circle(50,100,40,40)","C"
"若要讓物件隨機顯示顏色，下列哪一個函式最常用?","random()","shuffle() ","noise()","colorMode()","A"
"p5.js是用哪種語言開發/撰寫?","Python"," C++","JavaScript","Java","C"
